timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-04-16,137.84,138.04,136.58,137.05,115.101647833,147707377,0.0000,1.0
2012-04-13,138.47,138.82,137.01,137.14,115.177234468,169047929,0.0000,1.0
2012-04-12,137.13,138.9,137.03,138.79,116.56298944,153603844,0.0000,1.0
2012-04-11,137.29,137.54,136.75,137.0,115.059655258,153297439,0.0000,1.0
2012-04-10,137.95,138.34,135.76,135.9,114.13581861,235129361,0.0000,1.0
2012-04-09,138.03,139.84,137.84,138.22,116.084274086,127440839,0.0000,1.0
2012-04-05,139.38,140.2,139.26,139.79,117.402840938,137161910,0.0000,1.0
2012-04-04,140.22,140.34,139.34,139.86,117.461630543,146781144,0.0000,1.0
2012-04-03,141.64,141.88,140.43,141.26,118.63742264,155717384,0.0000,1.0
2012-04-02,140.64,142.21,140.36,141.84,119.124536509,151598615,0.0000,1.0
2012-03-30,140.92,141.05,140.05,140.81,118.259489466,135353643,0.0000,1.0
2012-03-29,139.64,140.49,139.09,140.23,117.772375597,164884702,0.0000,1.0
2012-03-28,141.1,141.32,139.64,140.47,117.973939957,148434044,0.0000,1.0
2012-03-27,141.74,141.83,141.08,141.17,118.561836006,119584541,0.0000,1.0
2012-03-26,140.65,141.61,140.6,141.61,118.931370665,119477129,0.0000,1.0
2012-03-23,139.32,139.81,138.55,139.65,117.285261728,120400107,0.0000,1.0
2012-03-22,139.18,139.55,138.74,139.2,116.907328554,135040700,0.0000,1.0
2012-03-21,140.52,140.65,139.92,140.21,117.755578567,122251226,0.0000,1.0
2012-03-20,140.05,140.61,139.64,140.44,117.948744412,121629293,0.0000,1.0
2012-03-19,140.21,141.28,140.11,140.85,118.293083526,125211330,0.0000,1.0
2012-03-16,140.36,140.48,140.0,140.3,117.831165202,151779966,0.6139,1.0
2012-03-15,140.12,140.78,139.76,140.72,117.669035801,164882424,0.0000,1.0
2012-03-14,140.1,140.45,139.48,139.91,116.991719719,145034209,0.0000,1.0
2012-03-13,138.32,140.13,138.09,140.06,117.117148623,183032814,0.0000,1.0
2012-03-12,137.55,137.76,137.09,137.58,115.043390744,103873080,0.0000,1.0
2012-03-09,137.3,137.93,137.13,137.57,115.035028817,122808966,0.0000,1.0
2012-03-08,136.52,137.32,136.24,137.04,114.591846689,116712098,0.0000,1.0
2012-03-07,135.06,135.91,134.93,135.69,113.462986553,143600783,0.0000,1.0
2012-03-06,135.35,135.43,134.36,134.75,112.676965422,201787583,0.0000,1.0
2012-03-05,137.1,137.2,136.28,136.75,114.349350808,140544479,0.0000,1.0
2012-03-02,137.64,137.82,137.0,137.31,114.817618717,120536666,0.0000,1.0
2012-03-01,137.31,137.99,136.93,137.73,115.168819648,144742785,0.0000,1.0
2012-02-29,137.76,138.19,136.54,137.02,114.575122836,185615627,0.0000,1.0
